word,tfidf
радость,0.14287318058888257
приносить,0.14287318058888257
звучать,0.14287318058888257
свести,0.14287318058888257
войти,0.1426895784867038
путь,0.14176820526320177
видеть,0.13983196072049048
истинный,0.13696875442677925
пускай,0.13504018826516348
друг,0.1349947600024467
любить,0.1349015990555292
самый,0.13432631788594232
понимать,0.13370896780695501
взять,0.1309214139733385
парить,0.13048167270155173
костер,0.1296334738042908
пытаться,0.12920119692747586
нога,0.12812066072211273
дом,0.12774239528688316
бесконечный,0.12714331056339673
почему,0.12527909602256682
падать,0.12469252693973357
нести,0.12367532667747508
давно,0.12297765719651416
хиросима,0.12198916896942542
возня,0.12198916896942542
человечество,0.12198916896942542
держаться,0.11853204334422299
страна,0.11853204334422299
придушить,0.11853204334422299
затвор,0.11853204334422299
грохочет,0.11853204334422299
